,idx_test,idx_neigh_train,label_train
597,16464,13252,1
598,9178,6454,1
599,10319,1258,1
600,19616,3016,1
601,1288,5164,1
602,8614,803,1
603,14371,2116,1
604,15752,9807,1
605,7708,2320,1
606,15295,927,0
607,6448,6760,1
608,23127,6970,1
609,466,2984,0
610,11429,2340,1
611,20940,10348,1
612,21981,2973,1
613,14307,13286,1
614,9585,2560,0
615,11802,3755,1
616,8456,5313,0
617,13987,15523,1
618,15245,3838,0
619,4844,15025,1
620,22809,12587,1
621,18387,791,1
622,12932,3106,0
623,14503,15584,0
624,12176,10250,0
625,12064,741,0
626,1580,5843,1
627,16702,607,1
628,1429,6314,0
629,15853,6709,1
630,22620,2231,1
631,23110,9710,1
632,2290,1576,0
633,18762,8894,0
634,13106,7939,1
635,2485,5407,1
636,3113,12600,0
637,6077,10842,0
638,14677,4560,0
639,11682,11669,1
640,13526,4914,1
641,7293,7091,0
642,9739,12015,1
643,6517,13591,1
644,8763,4267,1
645,1297,5792,0
646,21397,7696,1
647,11276,3980,1
648,3142,6692,1
649,19859,7070,1
650,5584,984,0
651,14891,10119,1
652,10761,13463,0
653,10987,3998,1
654,3448,1556,1
655,10834,6157,0
656,2851,13497,1
657,7921,3488,0
658,19224,12313,1
659,4534,6950,0
660,15307,3261,0
661,19189,15241,1
662,21305,5007,1
663,12922,1850,0
664,1635,13319,1
665,1747,11773,1
666,2408,4829,1
667,10505,689,0
668,20286,7324,1
669,22046,4916,1
670,14379,6968,1
671,3780,683,1
672,13104,392,1
673,17119,9954,0
674,9889,6426,1
675,9233,198,0
676,9406,785,0
677,15120,481,0
678,10347,11117,1
679,19841,3235,1
680,20929,3041,1
681,22113,307,1
682,963,2573,1
683,4345,3975,0
684,19267,633,0
685,8149,5834,0
686,13542,8014,0
687,9364,3449,1
688,12753,1763,1
689,3230,5404,1
690,20946,9729,1
691,7884,808,1
692,3018,5733,1
693,18424,5712,1
694,17121,9954,0
695,7917,8134,1
696,6803,6156,0
697,4678,3187,0
698,8451,698,0
699,9665,2501,0
700,12579,7013,1
701,12538,3335,0
702,19958,636,0
703,17864,12655,0
704,9015,13315,1
705,6036,5157,1
706,19688,800,0
707,23280,1597,1
708,19959,4521,1
709,22165,12659,1
710,5999,14880,1
711,12037,15230,0
712,8665,4748,1
713,19378,10173,1
714,7488,7687,1
715,4546,8438,1
716,13022,6285,0
717,11843,107,1
718,19211,388,0
719,16627,10396,0
720,8466,13691,1
721,5100,11488,0
722,11464,10382,0
723,8360,14258,0
724,2393,2522,1
725,15650,470,0
726,12461,977,1
727,3268,3630,0
728,12939,13273,0
729,11274,10914,0
730,8698,192,0
731,10333,12631,1
732,12223,8786,1
733,21765,11087,0
734,11526,9786,0
735,1680,900,0
736,341,2104,1
737,16946,2195,1
738,7907,13096,1
739,11575,11384,1
740,21784,10996,1
741,13628,4491,0
742,19548,7067,1
743,14264,4986,0
744,6726,4451,0
745,2859,8067,1
746,22349,14680,1
747,9397,14203,1
748,4591,11281,0
749,5662,978,1
750,12535,967,0
751,1530,2230,1
752,10419,7124,1
753,4479,6950,0
754,20295,6141,1
755,3421,5423,1
756,12848,11163,0
757,996,4823,1
758,10325,3638,1
759,22378,9138,1
760,13398,2255,0
761,10221,851,0
762,19428,3073,0
763,22471,3543,1
764,12020,1470,0
765,12917,7301,0
766,17829,2465,1
767,9570,2811,0
768,3503,2710,1
769,16430,2167,0
770,2188,4933,1
771,4645,2759,0
772,10210,4536,1
773,21837,13097,1
774,5714,14920,0
775,22629,1967,1
776,15750,13357,1
777,1713,2073,1
778,14163,397,1
779,11495,15457,1
780,8465,13691,1
781,11800,13980,1
782,3200,6901,1
783,3877,3633,0
784,11191,496,0
785,15329,425,1
786,14055,9387,1
787,8292,7749,0
788,20881,234,1
789,5836,8306,0
790,12313,1469,1
791,22595,1708,1
792,22097,6136,1
793,21762,1473,0
794,7439,6183,0
795,1052,7534,1
796,7792,1159,1
797,3256,8453,1
798,8054,898,0
799,15277,6896,0
800,16277,8525,1
801,10941,7388,1
802,7300,9787,0
803,16837,9184,0
804,14765,3749,1
805,20078,12000,1
806,20684,8924,0
807,15073,12339,1
808,6215,3149,1
809,1201,4709,0
810,7639,4557,1
811,278,2523,1
812,1027,2946,1
813,828,383,1
814,8919,12637,1
815,18829,1901,1
816,18012,1979,0
817,3725,1926,1
818,9085,624,1
819,7356,10278,0
820,4101,5791,1
821,21647,969,1
822,17451,14603,1
823,16864,6706,0
824,5107,6491,1
825,217,1716,1
826,7301,765,0
827,11709,10810,0
828,12781,3585,0
829,5180,13337,1
830,8425,7628,1
831,18770,10526,0
832,6797,12624,1
833,1457,1815,1
834,18373,1547,1
835,10971,3588,1
836,14167,468,1
837,16444,2636,1
838,22862,2368,1
839,3147,4693,0
840,6769,9815,1
841,10753,97,0
842,22196,404,1
843,10477,7449,1
844,19601,12381,0
845,2583,34,0
846,13549,14909,0
847,12186,3967,0
848,16683,5100,1
849,5678,4037,0
850,18324,410,1
851,6896,3947,1
852,12655,2222,1
853,4258,7230,0
854,14770,2246,0
855,5068,1655,0
856,4740,11344,1
857,9773,6453,1
858,10019,1118,1
859,19021,6216,0
860,19082,3203,0
861,7048,13543,0
862,17624,5259,0
863,4475,2736,0
864,17719,11632,1
865,8124,792,0
866,18502,10520,1
867,13823,6778,1
868,10782,5150,0
869,5888,2137,1
870,15509,4215,0
871,22838,1506,1
872,6316,12666,1
873,21731,4310,1
874,14632,7700,1
875,3609,447,1
876,22424,1005,1
877,20707,6198,0
878,10133,7426,1
879,14213,7313,1
880,1215,1577,0
881,11897,2057,1
882,5617,583,0
883,14324,12451,0
884,9501,7789,0
885,11124,4507,1
886,19104,5007,1
887,22972,11925,1
888,16148,6921,1
889,119,430,1
890,1131,11641,1
891,17106,9525,0
892,19971,1126,1
893,15926,3100,1
894,1063,15036,1
895,8829,4867,1
896,8019,5785,1
897,20097,3044,1
898,18466,8148,1
899,7191,6261,1
900,22528,14,1
901,11365,3851,1
902,8523,959,1
903,681,11821,1
904,15145,549,0
905,5050,5183,0
906,9270,6262,1
907,5140,11859,0
908,3993,7555,0
909,12294,4179,1
910,4977,2296,0
911,3165,922,0
912,1398,1826,0
913,2595,12747,1
914,19391,11943,1
915,20549,3463,1
916,21143,11537,1
917,11436,5341,0
918,22334,12934,1
919,3108,4934,0
920,12304,5562,1
921,20257,14514,1
922,15550,10980,0
923,17681,14732,0
924,23050,13937,1
925,6202,3650,0
926,9831,3586,1
927,16757,7780,1
928,17797,9969,1
929,9421,2364,0
930,15669,12531,1
931,8332,3846,0
932,547,8745,0
933,9150,4191,1
934,2008,12647,0
935,13695,2313,1
936,19375,12813,1
937,18833,3241,1
938,13517,11585,1
939,21602,2586,1
940,9423,4971,0
941,20998,206,1
942,19798,10453,1
943,1122,14566,0
944,5548,12878,0
945,13150,4150,0
946,4057,10165,1
947,18831,3241,1
948,2323,6677,1
949,8618,9029,1
950,11655,277,0
951,21097,12487,1
952,10266,4024,1
953,11458,4797,0
954,3919,2949,0
955,13494,13005,1
956,13355,3267,0
957,23210,12752,1
958,5982,2621,0
959,971,3262,1
960,2213,6827,0
961,13938,12853,0
962,19937,5557,0
963,21660,14142,0
964,2789,1611,0
965,18707,8270,1
966,9720,2335,1
967,13679,3208,1
968,10657,5499,1
969,3617,10328,0
970,2041,9038,0
971,8607,5298,1
972,16097,6414,1
973,17794,368,1
974,14657,5356,0
975,7615,5936,1
976,17894,2396,1
977,12257,5489,1
978,21530,4054,1
979,21590,11954,1
980,1456,1815,1
981,18278,8646,0
982,19112,861,1
983,10029,3843,1
984,19728,11583,1
985,4742,11344,1
986,17875,2487,1
987,20200,5429,1
988,22244,1661,1
989,9811,11449,1
990,2647,5212,1
991,6119,6351,1
992,10792,7920,0
993,15060,13912,1
994,4186,9529,1
995,18703,1231,0
996,20423,3403,0
997,8319,12440,0
998,17957,11074,0
999,683,285,1
1000,23042,1243,1
1001,13332,12375,1
1002,2195,14373,1
1003,14263,4986,0
1004,3821,3777,1
1005,5900,5753,1
1006,16787,7881,1
1007,1192,4495,0
1008,13792,1697,0
1009,7467,8260,0
1010,19802,4452,1
1011,21241,12824,1
1012,17444,5711,1
1013,8813,3250,1
1014,3394,8635,0
1015,2748,5607,1
1016,12154,6171,0
1017,4469,814,1
1018,12584,11197,0
1019,15361,5275,1
1020,16258,1747,1
1021,21741,7756,1
1022,22038,13060,1
1023,6887,1427,1
1024,563,5751,0
1025,18970,2685,1
1026,6913,6801,1
1027,13396,645,1
1028,6603,5812,1
1029,22480,8432,1
1030,13173,4982,0
1031,22439,13911,0
1032,10385,9166,1
1033,7591,1539,1
1034,8900,5510,1
1035,21610,12534,0
1036,13866,2410,1
1037,18364,1861,1
1038,19645,6889,1
1039,5048,10664,0
1040,8474,32,1
1041,11214,1324,1
1042,1684,900,0
1043,4630,230,0
1044,16737,1295,1
1045,4696,5837,0
1046,13787,868,0
1047,3023,8492,1
1048,7553,2645,0
1049,15280,8380,0
1050,718,601,1
1051,15572,3143,0
1052,7335,351,0
1053,7748,3068,1
1054,23129,1351,0
1055,2061,3047,1
1056,6547,15393,0
1057,1227,6871,0
1058,12929,2851,0
1059,6699,12748,1
1060,9412,4715,0
1061,4252,4114,0
1062,2004,542,0
1063,18145,12703,1
1064,20519,11093,1
1065,6325,2772,1
1066,23295,7937,0
1067,18167,193,0
1068,7466,13425,0
1069,18059,12785,1
1070,35,4356,1
1071,9194,5709,1
1072,7014,74,0
1073,19902,11594,1
1074,15516,11977,1
1075,14103,4520,1
1076,14255,9140,0
1077,5388,15116,1
1078,12559,6032,0
1079,1940,12432,1
1080,12528,4984,0
1081,10511,3200,0
1082,8157,792,0
1083,742,6465,1
1084,18966,2685,1
1085,9162,9916,1
1086,5598,4266,0
1087,34,2122,1
1088,18758,3776,1
1089,18673,2740,0
1090,20000,48,0
1091,8644,5678,1
1092,5225,15183,1
1093,6003,9774,0
1094,20935,8373,1
1095,17276,6926,1
1096,5545,1128,0
1097,23031,15009,0
1098,20032,7151,1
1099,2683,5802,0
1100,15135,481,0
1101,13633,14515,1
1102,4863,4448,0
1103,17318,5259,0
1104,14865,5103,1
1105,9057,3661,1
1106,21494,4084,1
1107,12709,1455,1
1108,19068,8642,0
1109,18521,14602,1
1110,14507,2778,0
1111,1891,15433,1
1112,20275,6802,1
1113,16622,2898,0
1114,14235,4721,0
1115,20348,5340,0
1116,103,3790,1
1117,15964,7528,1
1118,22317,2721,1
1119,14418,8979,1
1120,13728,2630,1
1121,9740,12015,1
1122,12920,12547,0
1123,7438,6183,0
1124,6421,253,0
1125,9010,13033,1
1126,16833,4852,0
1127,17261,14703,1
1128,2229,1472,0
1129,5800,15242,0
1130,8827,9427,1
1131,10037,2722,1
1132,11770,12013,1
1133,10650,3890,1
1134,19927,1465,1
1135,12116,9211,1
1136,4520,6809,1
1137,8227,10014,0
1138,1603,385,0
1139,21997,8230,0
1140,4783,7329,0
1141,21722,13068,1
1142,20984,4191,1
1143,19674,804,0
1144,20821,7300,1
1145,856,11346,1
1146,13698,2313,1
1147,22078,156,1
1148,22883,11093,1
1149,10669,358,1
1150,12897,9222,0
1151,16118,9249,0
1152,44,3754,1
1153,15102,679,0
1154,19257,2305,0
1155,13203,1319,1
1156,10665,5462,1
1157,13573,2989,0
1158,13597,11528,0
1159,11652,3063,0
1160,21956,8611,1
1161,585,12805,1
1162,8231,11381,0
1163,3799,14503,1
1164,1527,2263,1
1165,291,7318,1
1166,21513,8342,1
1167,6779,5138,1
1168,19996,8191,1
1169,15786,15572,0
1170,15066,12088,1
1171,22779,579,1
1172,16409,1133,1
1173,5923,2788,1
1174,6453,3895,0
1175,14284,888,1
1176,10915,2035,1
1177,13297,1307,1
1178,11333,11143,1
1179,8267,2133,0
1180,19827,9551,1
1181,3776,7237,1
1182,16015,12596,1
1183,8960,6541,1
1184,7559,14722,0
1185,16561,9704,1
1186,4282,261,1
1187,3566,6233,1
1188,1427,6273,1
1189,4463,176,0
1190,2266,4562,0
1191,5474,14324,0
1192,19639,6889,1
1193,8476,11677,1
1194,21574,12778,0
1195,6842,7052,0
1196,3732,14835,1
1197,19484,11241,1
1198,2141,5330,1
1199,11346,181,0
1200,14302,3316,0
1201,20761,2337,1
1202,18310,13711,0
1203,4936,5242,0
1204,18238,15439,0
1205,9048,3680,1
1206,21422,1915,1
1207,13278,8072,1
1208,12994,11884,0
1209,15212,5067,1
1210,6844,10820,1
1211,3128,11031,1
1212,13885,6039,1
1213,13483,10541,1
1214,15499,8694,0
1215,14192,2468,0
1216,1962,208,1
1217,20871,302,1
1218,11286,2038,0
1219,13855,9718,1
1220,22178,2233,1
1221,936,12563,1
1222,9483,8103,0
1223,905,699,1
1224,10042,1118,1
1225,18314,1180,0
1226,200,15415,1
1227,15486,14993,1
1228,23195,4541,1
1229,6483,3418,1
1230,19624,14054,0
1231,10254,2775,1
1232,3277,3742,1
1233,5706,2173,0
1234,3489,1535,1
1235,14729,13720,1
1236,6095,1283,1
1237,17235,6131,1
1238,15478,9599,1
1239,12893,944,0
1240,18632,8783,0
1241,383,5852,1
1242,4205,8667,0
1243,3296,14212,0
1244,9690,4712,1
1245,21496,2256,1
1246,14238,932,1
1247,14883,9388,1
1248,7908,13096,1
1249,15234,126,0
1250,18369,6761,1
1251,10865,7221,1
1252,1534,18,1
1253,7445,364,1
1254,15909,541,1
1255,18291,10024,1
1256,9437,1649,0
1257,12745,10293,1
1258,3571,6086,1
1259,18760,8684,0
1260,9648,11816,0
1261,3789,324,1
1262,2252,8790,1
1263,5638,1574,0
1264,3533,6224,1
1265,17151,6747,1
1266,13019,109,1
1267,3486,4503,1
1268,2127,1402,1
1269,8136,2418,0
1270,20186,6152,0
1271,6285,331,1
1272,3472,13034,1
1273,11170,6397,0
1274,20419,7762,1
1275,20279,579,1
1276,10289,12623,1
1277,19424,8181,1
1278,10927,3887,1
1279,3096,2556,0
1280,3964,4682,0
1281,4739,15430,0
1282,13638,9894,1
1283,3045,9329,1
1284,19004,7482,0
1285,7409,1588,1
1286,9985,77,1
1287,18248,3031,1
1288,3316,7878,1
1289,7330,1993,0
1290,3455,8254,1
1291,14332,11278,1
1292,6377,1282,0
1293,3953,4758,0
1294,17236,6131,1
1295,21434,9942,0
1296,13197,12176,0
1297,21720,12123,1
1298,8694,9120,1
1299,13696,2313,1
1300,3589,4846,0
1301,8602,10184,1
1302,4044,5752,1
1303,19341,9399,0
1304,7168,5800,0
1305,18356,966,1
1306,16392,12488,1
1307,12221,6593,1
1308,14918,1683,0
1309,6498,841,1
1310,3473,7003,0
1311,19158,3553,0
1312,15394,5507,1
1313,2168,7772,1
1314,21211,8342,1
1315,15637,11901,1
1316,474,1252,1
1317,23134,4050,1
1318,16948,2195,1
1319,9749,2892,1
1320,14058,9387,1
1321,1710,2073,1
1322,10608,710,1
1323,3396,6504,1
1324,11614,2700,1
1325,17933,87,1
1326,21690,7587,1
1327,2238,444,0
1328,12194,8749,0
1329,19283,6573,1
1330,898,1773,1
1331,20793,1013,0
1332,13229,2470,0
1333,17990,3300,1
1334,8229,14076,0
1335,12701,8629,1
1336,10902,3236,1
1337,22384,6920,1
1338,16744,12500,1
1339,1182,1558,0
1340,5286,4207,0
1341,23045,2985,1
1342,22782,7750,0
1343,19474,2413,1
1344,4424,2341,1
1345,17168,155,0
1346,10466,4212,0
1347,21642,6241,1
1348,1765,1380,0
1349,5472,9053,0
1350,14970,6679,0
1351,12346,2951,1
1352,4202,1540,0
1353,6020,2945,1
1354,2208,2623,0
1355,8394,8832,0
1356,12526,1484,0
1357,19066,5932,0
1358,12133,7189,0
1359,21568,8925,0
1360,10882,4912,1
1361,22754,12003,1
1362,21879,11167,1
1363,8504,2126,0
1364,8013,1701,1
1365,14741,3885,1
1366,2412,8225,1
1367,2505,4398,1
1368,10256,5849,1
1369,17913,15589,1
1370,14123,3364,1
1371,7097,4100,1
1372,21886,1844,1
1373,9384,7405,1
1374,19564,13504,0
1375,5466,682,0
1376,3482,1535,1
1377,16697,1313,1
1378,6536,1849,1
1379,12291,1953,1
